Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.12.2004;97.6;26.5;23.47;28.53;33.2;90.86;35.26;59.6;10.55;21.41;39.99;21.33;9.27;43.99;28.2;90.45;40.7;60.45;16.1;24.41;4256.08
01.01.2005;90.95;26.2;24.39;28.92;32.17;97.82;34.88;59.54;10.72;21.94;46.58;22.93;9.11;46.49;31.59;87.67;44.23;58.96;16.29;27.47;4254.85
01.02.2005;95.62;28.27;26.4;28.8;32.35;101.29;34.99;60.5;10.85;21.69;44.98;22.52;10.09;49.66;34.78;93.3;45.85;57.4;17.23;27.67;4350.49
01.03.2005;97.95;27.35;25.47;28.7;35.05;100.33;34.53;60.73;11.12;21.13;44.76;23.25;10.34;50.62;34.33;92.94;46.65;59.16;15.79;27.82;4348.77
01.04.2005;92.24;25.06;25.36;28;32.7;101.59;30.35;57.54;9.96;20.81;41.5;22.26;9.29;48.88;32.37;84.8;46.12;54.88;14.12;24.35;4184.84
01.05.2005;95.74;26.96;27.29;28.9;35.2;106.15;32.61;57.65;10.25;22.46;48.02;24.92;10.25;52.71;35.72;88.92;49.65;57.51;14.84;26.17;4460.63
01.06.2005;94.97;27.5;27.59;30.92;37.73;107.65;33.58;59.05;10.16;23.52;54.87;24.67;10.85;53.31;34.16;88.12;53.38;58.47;14.3;29.32;4586.28
01.07.2005;104.82;29.3;29.48;31.33;38.76;110.46;40.12;65.24;10.33;24.39;54.94;25.85;12.27;55.42;38.24;96.03;55.26;61.68;15.4;34.06;4886.5
01.08.2005;104.9;28.4;28.61;31.67;36.42;126.35;41.7;64.07;10.83;24.69;54.09;25.58;12.1;57.34;40.69;90.8;54.18;59.63;15.42;32.19;4829.69
01.09.2005;112.34;31.25;30.49;31.83;39.06;136.06;44.14;71.01;11.03;24.4;55.33;25.22;13.92;58.54;42.47;95;55.05;62.11;17.26;37.98;5044.12
01.10.2005;117.83;30.08;28.97;30.05;36.2;130.9;41.79;71.29;11.16;24.13;57.87;23.97;12.97;56.77;38.54;98;53.28;60.14;16.84;33.9;4929.07
01.11.2005;123.49;31.33;33.86;34.2;37.32;150.56;42.94;75.85;11.39;25.8;68.2;27.27;12.73;58.02;42.1;110.86;58.7;62.35;16.99;32.55;5193.4
01.12.2005;127.94;32.35;35.29;34.67;37.05;155.96;43.14;74.73;12.51;27.9;69.41;28.33;12.1;62.81;44.86;114.38;62.55;70.16;17.51;32.5;5408.26
01.01.2006;132.65;32.43;34.37;35.17;37.23;167.76;47.26;80.64;13.05;29.35;77.34;30.72;13.34;63.95;47.06;111.73;67.82;72.74;21.06;35.46;5674.15
01.02.2006;135.4;31.63;33.79;38;40.34;183.05;46.5;84.36;13.86;29.65;83.24;30.81;14.91;63.46;52.63;113.75;71.86;74.62;21.25;43.24;5796.04
01.03.2006;137.78;32.35;33.06;39.67;45.45;197.07;47.4;86;14.77;28.99;86.88;32.16;15.78;68.43;56.99;117;71.82;74.65;23.83;45.29;5970.08
01.04.2006;132.7;33.98;36.61;39.98;43.11;196.89;43.46;88.8;14.62;30.81;89.46;31.77;16.97;67.77;59.8;112.32;68.72;72.68;26.13;44;6009.89
01.05.2006;121.4;31.75;35.04;37.33;40.14;175.62;41;81.71;13.64;30;85.18;29.28;15.43;61.63;55.84;105.75;66.64;65.04;26.75;39.28;5692.86
01.06.2006;123.52;31.39;35.94;39.27;39.06;170.46;38.63;80.3;14.4;30.01;81.16;29.79;14.95;60.25;56.35;106.81;65.05;65.92;26.77;39.5;5683.31
01.07.2006;122.98;31.51;38.57;41.24;40.41;164.47;40.41;82.35;14.63;31.46;89.79;31;13.93;66.15;56.32;107.83;68.77;61.16;27.4;41.94;5681.97
01.08.2006;132.37;32.17;38.67;43.2;40.44;163.63;41.2;81.35;15.46;33.05;89.92;33.23;14.33;68.89;59.42;117.58;71.54;64.13;26.58;44.34;5859.57
01.09.2006;136.48;31.58;40.2;41.97;42.24;159.13;39.41;86.83;16.71;31.16;94.9;36.55;14.98;74.29;66.42;124.71;72.75;66.67;26.57;46.65;6004.33
01.10.2006;145.42;34.53;39.45;44.5;45;166.68;44.7;89.98;18.07;31.33;96.84;34.98;17.57;77.66;69.31;127.18;77.43;68.32;29.08;51.75;6268.92
